mediSpanDrug,mediSpanDisease
medispan:C0689115,medispan:C0031036
medispan:C0689119,medispan:C0031036
medispan:C0689573,medispan:C0031036
medispan:C0689574,medispan:C0031036
medispan:C0689575,medispan:C0031036
medispan:C0689576,medispan:C0031036
medispan:C0689577,medispan:C0031036
medispan:C0690106,medispan:C0031036
medispan:C0690616,medispan:C0031036
medispan:C0690617,medispan:C0031036
medispan:C0690618,medispan:C0031036
medispan:C0690619,medispan:C0031036
medispan:C0692774,medispan:C0031036
medispan:C0688830,medispan:C0014547
medispan:C0690781,medispan:C0014547
medispan:C0690782,medispan:C0014547
medispan:C0691061,medispan:C0014547
medispan:C0691062,medispan:C0014547
medispan:C0691063,medispan:C0014547
medispan:C0691064,medispan:C0014547
medispan:C0692742,medispan:C0014547
medispan:C0693584,medispan:C0014547
medispan:C0693585,medispan:C0014547
medispan:C0693586,medispan:C0014547
medispan:C0705940,medispan:C0014547
medispan:C0705941,medispan:C0014547
medispan:C0692877,medispan:C0014547
medispan:C0690781,medispan:C0014548
medispan:C0690782,medispan:C0014548
medispan:C0355708,medispan:C0014553
medispan:C0688373,medispan:C0014553
medispan:C0688374,medispan:C0014553
medispan:C0688375,medispan:C0014553
medispan:C0688830,medispan:C0014553
medispan:C0689472,medispan:C0014553
medispan:C0689473,medispan:C0014553
medispan:C0689474,medispan:C0014553
medispan:C0689548,medispan:C0014553
medispan:C0690705,medispan:C0014553
medispan:C0692661,medispan:C0014553
medispan:C0703712,medispan:C0014553
medispan:C0704895,medispan:C0014553
medispan:C0689901,medispan:C0014553
medispan:C0703147,medispan:C0014553
medispan:C0689952,medispan:C0017551
medispan:C0689955,medispan:C0017551
medispan:C0689957,medispan:C0017551
medispan:C0689961,medispan:C0017551
medispan:C0692494,medispan:C0017551
medispan:C0692500,medispan:C0017551
medispan:C0692501,medispan:C0017551
medispan:C0690549,medispan:C0018022
medispan:C0690552,medispan:C0018022
medispan:C0692572,medispan:C0018022
medispan:C0694352,medispan:C0018022
medispan:C0694354,medispan:C0018022
medispan:C0710135,medispan:C0018022
medispan:C0772685,medispan:C0018798
medispan:C0688481,medispan:C0019069
medispan:C0689910,medispan:C0019202
medispan:C0689911,medispan:C0019202
medispan:C0689912,medispan:C0019202
medispan:C0692773,medispan:C0019202
medispan:C0693758,medispan:C0019202
medispan:C0693759,medispan:C0019202
medispan:C0356471,medispan:C0019829
medispan:C0356472,medispan:C0019829
medispan:C0356912,medispan:C0019829
medispan:C0356913,medispan:C0019829
medispan:C0688230,medispan:C0019829
medispan:C0688435,medispan:C0019829
medispan:C0688436,medispan:C0019829
medispan:C0688489,medispan:C0019829
medispan:C0688490,medispan:C0019829
medispan:C0688492,medispan:C0019829
medispan:C0688493,medispan:C0019829
medispan:C0688495,medispan:C0019829
medispan:C0688496,medispan:C0019829
medispan:C0688497,medispan:C0019829
medispan:C0688498,medispan:C0019829
medispan:C0689112,medispan:C0019829
medispan:C0689115,medispan:C0019829
medispan:C0689119,medispan:C0019829
medispan:C0689389,medispan:C0019829
medispan:C0689390,medispan:C0019829
medispan:C0689391,medispan:C0019829
medispan:C0690106,medispan:C0019829
medispan:C0692774,medispan:C0019829
medispan:C0693711,medispan:C0019829
medispan:C0689952,medispan:C0020433
medispan:C0689955,medispan:C0020433
medispan:C0689957,medispan:C0020433
medispan:C0689961,medispan:C0020433
medispan:C0690825,medispan:C0020433
medispan:C0692494,medispan:C0020433
medispan:C0692500,medispan:C0020433
medispan:C0692501,medispan:C0020433
medispan:C0693707,medispan:C0020433
medispan:C0689404,medispan:C0020443
medispan:C0689405,medispan:C0020443
medispan:C0689406,medispan:C0020443
medispan:C0689750,medispan:C0020443
medispan:C0690321,medispan:C0020443
medispan:C0691633,medispan:C0020443
medispan:C0691638,medispan:C0020443
medispan:C0692463,medispan:C0020443
medispan:C0693627,medispan:C0020443
medispan:C0693628,medispan:C0020443
medispan:C0693848,medispan:C0020443
medispan:C0694301,medispan:C0020443
medispan:C0694372,medispan:C0020443
medispan:C0691632,medispan:C0020443
medispan:C0773659,medispan:C0020443
medispan:C0705898,medispan:C0022603
medispan:C0707528,medispan:C0022603
medispan:C0351070,medispan:C0022603
medispan:C0688415,medispan:C0022603
medispan:C0689572,medispan:C0022603
medispan:C0704165,medispan:C0022603
medispan:C0590154,medispan:C0023264
medispan:C0715307,medispan:C0023264
medispan:C0590156,medispan:C0023264
medispan:C0773615,medispan:C0023264
medispan:C0356912,medispan:C0023449
medispan:C0356913,medispan:C0023449
medispan:C0688435,medispan:C0023449
medispan:C0688436,medispan:C0023449
medispan:C0689485,medispan:C0023449
medispan:C0688435,medispan:C0023467
medispan:C0688436,medispan:C0023467
medispan:C0689485,medispan:C0023467
medispan:C0689644,medispan:C0023467
medispan:C0690519,medispan:C0023467
medispan:C0688360,medispan:C0024236
medispan:C0688230,medispan:C0024301
medispan:C0356912,medispan:C0024305
medispan:C0356913,medispan:C0024305
medispan:C0688435,medispan:C0024305
medispan:C0688436,medispan:C0024305
medispan:C0688489,medispan:C0024305
medispan:C0688490,medispan:C0024305
medispan:C0688492,medispan:C0024305
medispan:C0688493,medispan:C0024305
medispan:C0688495,medispan:C0024305
medispan:C0688496,medispan:C0024305
medispan:C0688497,medispan:C0024305
medispan:C0688498,medispan:C0024305
medispan:C0689112,medispan:C0024305
medispan:C0689115,medispan:C0024305
medispan:C0689119,medispan:C0024305
medispan:C0690696,medispan:C0024305
medispan:C0690137,medispan:C0024591
medispan:C0690140,medispan:C0024591
medispan:C0690141,medispan:C0024591
